open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2026-01-10 08:00:00,90678.5,90773.33,90650.0,90708.26,179.83092,1768032899999,16314732.93815890,15580,146.51296000,13292574.11370160,0
2026-01-10 08:15:00,90708.26,90723.09,90618.28,90696.01,62.84424,1768033799999,5698034.88177570,17187,33.54745000,3042021.72239790,0
2026-01-10 08:30:00,90696.01,90696.01,90640.83,90646.03,28.38454,1768034699999,2573327.56373720,9062,16.25796000,1473901.21570900,0
2026-01-10 08:45:00,90646.02,90661.95,90630.09,90661.95,17.28024,1768035599999,1566274.13460190,5128,10.67402000,967489.17182860,0
2026-01-10 09:00:00,90661.94,90709.45,90641.43,90645.25,39.28935,1768036499999,3562683.00748400,11075,24.79238000,2248106.05781080,0
2026-01-10 09:15:00,90645.24,90693.57,90645.24,90683.02,22.52638,1768037399999,2042362.59170580,5460,14.74102000,1336441.06868660,0
2026-01-10 09:30:00,90683.02,90743.1,90630.09,90693.53,43.34948,1768038299999,3931153.01187860,16983,24.35503000,2208543.96061370,0
2026-01-10 09:45:00,90693.53,90768.97,90687.18,90768.96,53.52778,1768039199999,4856666.68125490,10061,40.09081000,3637461.03682450,0
2026-01-10 10:00:00,90768.97,90768.97,90728.45,90753.15,15.96099,1768040099999,1448414.34970510,7512,8.05070000,730547.30724530,0
2026-01-10 10:15:00,90753.14,90800.0,90730.24,90761.69,33.27053,1768040999999,3019655.65349270,10613,16.03410000,1455262.63158500,0
2026-01-10 10:30:00,90761.69,90812.99,90761.68,90779.86,35.96936,1768041899999,3265404.28427940,6212,17.77713000,1613749.96895960,0
2026-01-10 10:45:00,90779.86,90832.0,90779.85,90828.0,41.47424,1768042799999,3766412.01853180,8089,26.47140000,2403903.62078080,0
2026-01-10 11:00:00,90828.0,90828.0,90752.6,90779.41,23.48788,1768043699999,2132181.03045310,8652,8.81397000,800123.40643360,0
2026-01-10 11:15:00,90779.4,90801.81,90772.53,90781.85,14.96225,1768044599999,1358344.65863400,5900,9.14993000,830666.22787110,0
2026-01-10 11:30:00,90781.85,90813.63,90780.0,90780.0,18.51717,1768045499999,1681190.38082810,6646,8.63768000,784207.79477110,0
2026-01-10 11:45:00,90780.0,90780.01,90708.25,90723.86,16.72097,1768046399999,1517062.23842890,6131,5.70574000,517628.57398060,0
2026-01-10 12:00:00,90723.87,90769.71,90713.5,90736.48,21.46999,1768047299999,1948153.83504470,8082,12.40739000,1125771.98921080,0
2026-01-10 12:15:00,90736.47,90788.78,90719.32,90719.32,24.9057,1768048199999,2260380.89343530,8405,11.71734000,1063474.72776490,0
2026-01-10 12:30:00,90719.33,90719.33,90665.75,90706.66,29.1587,1768049099999,2644753.38697510,6138,10.09588000,915710.13925940,0
2026-01-10 12:45:00,90706.67,90735.67,90706.66,90733.71,19.08583,1768049999999,1731532.58630430,8038,7.18539000,651855.23108280,0
2026-01-10 13:00:00,90733.71,90772.78,90708.25,90708.26,18.57751,1768050899999,1685511.87067290,8158,9.37989000,851070.24353260,0
2026-01-10 13:15:00,90708.26,90746.61,90706.66,90727.56,18.67683,1768051799999,1694446.67805660,5984,13.15264000,1193266.56827160,0
2026-01-10 13:30:00,90727.56,90727.56,90706.66,90718.28,18.55363,1768052699999,1683149.34307010,5188,6.39482000,580122.28681730,0
2026-01-10 13:45:00,90718.28,90723.48,90633.86,90656.51,27.18363,1768053599999,2465051.91883340,10784,7.86289000,712975.40979660,0
2026-01-10 14:00:00,90656.52,90658.69,90538.46,90609.31,54.51125,1768054499999,4939579.47542930,11037,15.51879000,1406036.14465540,0
2026-01-10 14:15:00,90609.32,90649.19,90591.95,90619.51,41.33289,1768055399999,3745404.26319090,6917,24.00779000,2175301.19194710,0
2026-01-10 14:30:00,90619.52,90619.52,90558.77,90558.77,23.22973,1768056299999,2104223.55476760,8952,8.07544000,731473.23733300,0
2026-01-10 14:45:00,90558.78,90591.02,90558.77,90591.01,25.28081,1768057199999,2289950.46501030,5991,11.70483000,1060191.98136050,0
2026-01-10 15:00:00,90591.01,90640.83,90584.19,90634.57,23.20773,1768058099999,2103113.57350830,10296,10.45383000,947330.51398060,0
2026-01-10 15:15:00,90634.58,90638.63,90584.17,90595.76,24.01433,1768058999999,2175829.01417250,7375,11.94097000,1081832.39674000,0
2026-01-10 15:30:00,90595.76,90641.28,90595.76,90641.27,23.54235,1768059899999,2133439.40265010,4387,13.06532000,1184034.65104850,0
2026-01-10 15:45:00,90641.27,90665.76,90609.55,90665.75,21.75072,1768060799999,1971579.55999540,6394,10.49278000,951133.69247180,0
2026-01-10 16:00:00,90665.76,90725.74,90658.36,90681.0,38.5963,1768061699999,3500225.51228400,8395,25.18989000,2284508.15513720,0
2026-01-10 16:15:00,90681.0,90681.01,90622.17,90646.29,24.60024,1768062599999,2229805.23026850,6532,12.32886000,1117493.45684010,0
2026-01-10 16:30:00,90646.29,90706.39,90609.56,90706.39,34.79851,1768063499999,3155067.44470290,8924,20.99205000,1903406.16826970,0
2026-01-10 16:45:00,90706.38,90717.97,90675.52,90676.66,44.8062,1768064399999,4063448.34217740,6740,18.50918000,1678619.29248740,0
2026-01-10 17:00:00,90676.66,90720.94,90676.66,90720.93,33.86537,1768065299999,3071504.30953820,5079,28.70734000,2603673.33162310,0
2026-01-10 17:15:00,90720.94,90746.0,90720.93,90745.99,16.8995,1768066199999,1533307.84293400,3265,10.32425000,936725.17180300,0
2026-01-10 17:30:00,90745.99,90746.0,90663.79,90663.79,38.49249,1768067099999,3491541.56344000,6204,4.18801000,379895.24340910,0
2026-01-10 17:45:00,90663.8,90663.8,90544.96,90544.96,63.60889,1768067999999,5763126.09741480,11132,20.77450000,1882205.20237760,0
2026-01-10 18:00:00,90544.96,90574.36,90504.55,90530.32,85.06982,1768068899999,7702523.90292300,7823,27.77277000,2514417.72715550,0
2026-01-10 18:15:00,90530.31,90580.15,90530.31,90580.15,38.49758,1768069799999,3485634.26599960,4495,29.06252000,2631260.77887500,0
2026-01-10 18:30:00,90580.14,90588.89,90570.06,90588.89,18.39615,1768070699999,1666283.52703860,3658,8.93164000,808980.92983770,0
2026-01-10 18:45:00,90588.88,90595.63,90584.49,90595.62,16.57606,1768071599999,1501602.05946070,2867,6.49828000,588662.26479280,0
2026-01-10 19:00:00,90595.62,90595.63,90580.61,90580.61,9.36091,1768072499999,848015.25401690,3019,2.86331000,259388.25324460,0
2026-01-10 19:15:00,90580.62,90596.92,90580.61,90596.91,8.60453,1768073399999,779472.08164000,2852,4.83279000,437792.01902750,0
2026-01-10 19:30:00,90596.91,90631.06,90596.91,90631.05,28.70133,1768074299999,2600733.33211270,6527,20.32947000,1842148.97582260,0
2026-01-10 19:45:00,90631.06,90631.37,90603.2,90626.54,29.27373,1768075199999,2652746.70160960,6405,16.72489000,1515566.48876570,0
2026-01-10 20:00:00,90626.54,90659.03,90626.53,90659.03,23.48559,1768076099999,2128667.07313160,5452,14.78049000,1339667.77147190,0
2026-01-10 20:15:00,90659.02,90659.03,90642.1,90642.1,27.24728,1768076999999,2469965.67661540,4039,14.90379000,1350978.00894340,0
2026-01-10 20:30:00,90642.1,90642.11,90584.53,90584.53,23.5366,1768077899999,2132809.81205190,7688,9.41221000,852830.17680270,0
2026-01-10 20:45:00,90584.54,90584.54,90571.0,90572.86,25.11296,1768078799999,2274672.67934640,4493,13.88068000,1257265.54306590,0
2026-01-10 21:00:00,90572.86,90572.86,90500.38,90527.01,63.91415,1768079699999,5786138.08461160,8104,19.59778000,1774155.11384030,0
2026-01-10 21:15:00,90527.01,90570.52,90519.7,90568.26,23.17263,1768080599999,2098173.22964320,6298,12.25218000,1109364.41946240,0
2026-01-10 21:30:00,90568.26,90568.26,90519.71,90535.77,35.15204,1768081499999,3182811.54393500,7582,16.48221000,1492376.61647310,0
2026-01-10 21:45:00,90535.77,90535.78,90507.01,90510.74,22.70403,1768082399999,2055019.68774210,4049,8.41907000,762020.40583460,0
2026-01-10 22:00:00,90510.75,90510.75,90404.0,90406.01,72.81593,1768083299999,6586712.85914620,13852,31.73227000,2869983.22816120,0
2026-01-10 22:15:00,90406.02,90488.43,90404.0,90488.43,28.50942,1768084199999,2578288.48745080,7074,19.14257000,1731135.94427250,0
2026-01-10 22:30:00,90488.43,90593.36,90488.42,90593.36,32.8634,1768085099999,2975830.49112910,12198,19.02516000,1722728.77648620,0
2026-01-10 22:45:00,90593.36,90600.0,90427.75,90427.76,27.45314,1768085999999,2484466.99663500,15472,10.02383000,907125.70007360,0
2026-01-10 23:00:00,90427.76,90537.34,90427.75,90511.03,28.19449,1768086899999,2551177.18090750,15826,17.12945000,1549802.93895170,0
2026-01-10 23:15:00,90511.03,90548.4,90511.02,90548.4,18.71928,1768087799999,1694601.86408140,6735,7.84539000,710201.90990180,0
2026-01-10 23:30:00,90548.4,90566.83,90512.51,90535.2,15.91527,1768088699999,1440873.38572030,6638,8.21894000,744055.49409200,0
2026-01-10 23:45:00,90535.2,90567.15,90492.83,90504.7,22.67929,1768089599999,2053194.94454270,6251,7.68666000,695932.74490480,0
2026-01-11 00:00:00,90504.7,90521.73,90451.1,90509.99,24.07868,1768090499999,2178758.17881150,11990,10.80586000,977789.16315420,0
2026-01-11 00:15:00,90509.99,90617.07,90509.99,90602.51,39.71262,1768091399999,3597359.11920930,9932,26.15274000,2368901.46655060,0
2026-01-11 00:30:00,90602.51,90602.51,90560.06,90565.78,21.47948,1768092299999,1945638.41765720,6400,4.44306000,402449.13859660,0
2026-01-11 00:45:00,90565.78,90650.75,90565.73,90640.44,29.09282,1768093199999,2636382.98820420,7271,14.78568000,1339714.03085970,0
2026-01-11 01:00:00,90640.44,90675.53,90622.61,90622.62,22.07257,1768094099999,2000912.03808470,10372,12.65527000,1147245.61125690,0
2026-01-11 01:15:00,90622.62,90644.0,90583.05,90587.71,35.31753,1768094999999,3200431.00114430,7574,7.48592000,678365.97371690,0
2026-01-11 01:30:00,90587.72,90593.47,90558.95,90593.47,15.59858,1768095899999,1412808.81568070,8533,8.21946000,744432.70572750,0
2026-01-11 01:45:00,90593.47,90628.23,90593.46,90628.23,10.48105,1768096799999,949633.94174330,5195,4.99154000,452248.33492440,0
2026-01-11 02:00:00,90628.24,90694.15,90615.34,90694.14,25.7535,1768097699999,2334588.66540430,6634,14.31053000,1297379.94192390,0
2026-01-11 02:15:00,90694.14,90694.15,90640.21,90676.48,18.85536,1768098599999,1709506.96924080,8500,10.51722000,953467.45735850,0
2026-01-11 02:30:00,90676.49,90691.77,90640.23,90691.76,12.08972,1768099499999,1096118.60285660,5964,4.58032000,415296.98917120,0
2026-01-11 02:45:00,90691.77,90731.9,90677.05,90699.0,66.36844,1768100399999,6020510.86093510,9850,53.18991000,4825050.99478240,0
2026-01-11 03:00:00,90699.0,90699.01,90631.64,90641.37,21.21834,1768101299999,1923766.39106500,7253,4.99613000,452929.95178440,0
2026-01-11 03:15:00,90641.38,90726.92,90641.37,90708.25,24.46564,1768102199999,2218886.80940440,9048,14.89991000,1351292.87799990,0
2026-01-11 03:30:00,90708.25,90708.26,90679.36,90699.99,21.14986,1768103099999,1918305.23604370,4632,9.42094000,854446.53391120,0
2026-01-11 03:45:00,90700.0,90737.95,90687.82,90733.5,76.1462,1768103999999,6907469.85542050,5851,68.48775000,6212741.05364770,0
2026-01-11 04:00:00,90733.49,90733.5,90661.53,90719.05,54.49674,1768104899999,4943215.75177650,11757,19.26773000,1747703.39175870,0
2026-01-11 04:15:00,90719.05,90748.32,90708.26,90708.27,13.9484,1768105799999,1265540.95488120,5288,5.15381000,467597.20206330,0
2026-01-11 04:30:00,90708.26,90770.44,90708.26,90758.07,42.8287,1768106699999,3886540.36332500,6524,30.52139000,2769775.14124690,0
2026-01-11 04:45:00,90758.07,90785.48,90758.07,90785.48,30.58197,1768107599999,2775823.43332610,4505,21.39955000,1942341.56563000,0
2026-01-11 05:00:00,90785.48,90785.48,90783.87,90783.88,19.72,1768108499999,1790275.54619850,2622,3.86332000,350730.61981790,0
2026-01-11 05:15:00,90783.87,90783.88,90740.0,90757.5,21.47725,1768109399999,1949377.30808330,5504,10.91787000,990940.52105270,0
2026-01-11 05:30:00,90757.49,90812.99,90757.49,90812.98,30.76342,1768110299999,2792980.95057080,4224,21.54395000,1956003.75327980,0
2026-01-11 05:45:00,90812.99,90850.0,90757.49,90774.43,56.10584,1768111199999,5095093.49816930,11033,33.17226000,3012771.26756820,0
2026-01-11 06:00:00,90774.42,90796.83,90774.42,90789.61,18.39138,1768112099999,1669773.90360890,4168,3.45433000,313608.12435950,0
2026-01-11 06:15:00,90789.6,90789.61,90585.34,90666.52,114.49059,1768112999999,10386731.92046800,20429,17.98676000,1630483.09086920,0
2026-01-11 06:30:00,90666.53,90682.0,90661.92,90661.93,13.4626,1768113899999,1220638.97999660,5084,4.15883000,377072.44196180,0
2026-01-11 06:45:00,90661.93,90744.0,90661.92,90744.0,23.5382,1768114799999,2135052.55322530,5219,12.68031000,1150053.86238250,0
2026-01-11 07:00:00,90744.0,90744.0,90679.45,90679.46,13.50635,1768115699999,1225192.72637640,7166,3.18343000,288720.19524330,0
2026-01-11 07:15:00,90679.46,90749.0,90675.52,90727.17,38.88733,1768116599999,3527388.65278760,8832,25.25993000,2291188.28216230,0
2026-01-11 07:30:00,90727.17,90738.5,90700.0,90710.77,31.91933,1768117499999,2895633.84468880,5736,16.49197000,1496081.62751230,0
2026-01-11 07:45:00,90710.78,90710.8,90710.77,90710.79,22.72532,1768118399999,2061431.50986550,2742,13.89876000,1260767.40798790,0
2026-01-11 08:00:00,90710.8,90731.0,90610.27,90677.75,54.06448,1768119299999,4902733.57885230,12672,22.91203000,2077691.17144900,0
